Date Time,use [kW],gen [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature,humidity,windSpeed
1574274647,0.915147575,0.003601909,0.311618576,0.043348091,0.004766667,0.17555,0.00335,16.01163337,0.49,8.7
1574274648,0.953786492,0.003928018,0.500678018,0.043105316,0.00465,0.036783333,0.003366667,16.01174752,0.49,8.1
1574274649,0.910893437,0.004157323,0.47122399,0.042942677,0.004683333,0.031633333,0.003383333,16.0119386,0.49,7.6
1574274650,0.83492244,0.003624423,0.449741089,0.043308911,0.004716667,0.031783333,0.003416667,16.01197124,0.49,8.8
1574274651,0.485872176,0.004299449,0.095699449,0.042383884,0.005,0.031766667,0.0034,16.0121602,0.49,7.4
1574274652,0.584922096,0.003661123,0.021061123,0.042938877,0.005133333,0.031766667,0.003433333,16.01232899,0.49,8.7
1574274653,0.925119509,0.003941382,0.021941382,0.042358618,0.042216667,0.031766667,0.003383333,16.0123341,0.49,8.1
1574274654,1.358554803,0.003662853,0.022112853,0.042387147,0.167066667,0.031666667,0.003433333,16.01238311,0.49,8.7
1574274655,1.355984553,0.003996545,0.022463212,0.042053455,0.166733333,0.031716667,0.0034,16.01259439,0.49,8
1574274656,1.145768481,0.003804819,0.022238152,0.042428514,0.0222,0.031733333,0.00345,16.01283192,0.49,8.5
1574274657,1.027603022,0.003921365,0.022121365,0.042211968,0.00875,0.03165,0.0034,16.01295229,0.49,8.1
1574274658,0.713595319,0.003477135,0.021143801,0.043006199,0.005166667,0.03175,0.003416667,16.01301597,0.48,8.2
1574274659,0.492405975,0.003882736,0.097449402,0.042817264,0.005,0.031783333,0.003416667,16.01339817,0.48,7.4
