Date Time,use [kW],gen [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature,humidity,windSpeed
1574274685,0.692206221,0.004036045,0.021369378,0.042513955,0.122733333,0.0318,0.003416667,16.019217,0.48,7.1
1574274686,0.863916956,0.004228305,0.021844971,0.042188362,0.122366667,0.031766667,0.003416667,16.01952687,0.48,6.7
1574274687,1.318513786,0.003463621,0.031946955,0.042686379,0.1227,0.031716667,0.003433333,16.01998065,0.48,8.2
1574274688,1.384447007,0.003598632,0.108315299,0.042501368,0.1224,0.031733333,0.003383333,16.02003187,0.48,7.9
1574274689,1.379636818,0.003911318,0.113961318,0.042255349,0.121933333,0.03175,0.003416667,16.02004699,0.48,7.3
1574274690,1.206663365,0.003856997,0.063006997,0.042293003,0.121666667,0.0318,0.003383333,16.02010139,0.48,7.3
1574274691,1.067561339,0.003965533,0.123798866,0.042417801,0.121283333,0.031716667,0.003416667,16.02022533,0.48,7.2
1574274692,0.889450569,0.003629943,0.359279943,0.043303391,0.12125,0.031666667,0.003416667,16.02062017,0.48,7.9
1574274693,0.899195136,0.003503819,0.477753819,0.043546181,0.036433333,0.031816667,0.003433333,16.02076258,0.48,8.1
1574274694,0.821601152,0.004319885,0.448669885,0.042680115,0.004733333,0.031883333,0.003416667,16.02084353,0.48,6.5
1574274695,0.564402098,0.00423979,0.177856457,0.042676876,0.00495,0.031933333,0.003433333,16.02149054,0.48,6.7
1574274696,0.416093657,0.004060634,0.021293967,0.042756033,0.005066667,0.03195,0.00345,16.02158531,0.48,7.1
1574274697,0.413412537,0.004228746,0.021445413,0.042554587,0.005433333,0.031916667,0.003433333,16.02177319,0.48,6.7
1574274698,0.414878562,0.003895477,0.021145477,0.042887856,0.0051,0.031933333,0.003433333,16.02231444,0.48,7.4
1574274699,0.505161548,0.003585512,0.108302179,0.043264488,0.005016667,0.0319,0.00345,16.02238571,0.48,8
1574274700,0.618199048,0.003826762,0.231010095,0.043089905,0.004916667,0.031883333,0.003416667,16.02264965,0.48,7.5
1574274701,0.947324162,0.003837583,0.49970425,0.043329083,0.004683333,0.109883333,0.003433333,16.02274916,0.48,7.5
1574274702,0.976576662,0.003875667,0.496942334,0.043290999,0.005083333,0.105166667,0.003433333,16.02279542,0.48,7.4
1574274703,1.040618215,0.004148179,0.494948179,0.042818488,0.004783333,0.031766667,0.0034,16.02302526,0.48,6.8
1574274704,1.37233871,0.003826129,0.490759462,0.042890538,0.004933333,0.03175,0.003416667,16.02304508,0.48,7.5
1574274705,1.615023312,0.003516003,0.487016003,0.043100664,0.00505,0.03165,0.003416667,16.02319228,0.48,8.1
1574274706,1.606671753,0.004074491,0.487207824,0.042458842,0.005016667,0.031633333,0.0034,16.02333682,0.48,6.9
1574274707,1.566553963,0.00411627,0.451732937,0.042450396,0.00545,0.031633333,0.003433333,16.02343362,0.48,6.9
1574274708,1.439643265,0.00403734,0.44138734,0.042479327,0.005033333,0.031616667,0.003416667,16.02355909,0.48,7
1574274709,0.934133037,0.00409503,0.041478363,0.042221637,0.005283333,0.031716667,0.003416667,16.02368946,0.48,6.9
1574274710,0.410248836,0.00426345,0.02146345,0.042419883,0.005066667,0.031833333,0.0034,16.02369758,0.48,6.6
1574274711,0.410126713,0.004365662,0.021582329,0.042367671,0.005083333,0.031883333,0.003433333,16.02400853,0.48,6.4
1574274712,0.415278251,0.003743842,0.020943842,0.043006158,0.005466667,0.031933333,0.00345,16.02448783,0.48,7.7
1574274713,0.418645784,0.004428755,0.031645422,0.042337911,0.005066667,0.031966667,0.003433333,16.02459142,0.48,6.3
1574274714,0.428119699,0.004286363,0.108236363,0.042513637,0.005066667,0.031966667,0.003433333,16.02475797,0.48,6.6
1574274715,0.438000777,0.003989923,0.115573256,0.042893411,0.0051,0.031866667,0.003466667,16.02530465,0.48,7.2
1574274716,0.630417176,0.003584949,0.159001615,0.043281718,0.0825,0.031766667,0.003466667,16.02540553,0.48,8
1574274717,1.066564179,0.003845249,0.497978582,0.043238084,0.170883333,0.0317,0.0035,16.02547801,0.48,7.5
1574274718,1.012319484,0.003859719,0.467076385,0.043140281,0.14955,0.031733333,0.003466667,16.02570034,0.48,7.4
1574274719,0.819314636,0.00360187,0.447085203,0.04344813,0.0105,0.031766667,0.003466667,16.02589604,0.48,7.9
